birdName,dateTime,island,txFromDuskyId,txChannel,txDateOn,txDateOff
Manu,2023-01-19 15:40:00,Anchor,3202,17,2022-11-23 11:20:00,2023-01-19 15:40:00
Pukaea,2023-01-19 14:25:00,Anchor,2588,75,2022-12-11 10:40:00,2023-01-19 14:25:00
Mokonui,2023-01-19 13:20:00,Anchor,2943,92,2022-06-04 10:00:00,2023-01-19 13:20:00
Roria,2023-01-19 12:05:00,Anchor,2786,29,2022-08-22 11:21:00,2023-01-19 12:05:00
Matilda,2023-01-19 10:40:00,Anchor,2758,1,2022-05-12 11:30:00,2023-01-19 10:40:00
Torua,2022-12-13 14:40:00,Anchor,2491,34,2022-07-30 13:40:00,2022-12-13 14:40:00
Alison,2022-12-12 13:05:00,Anchor,3115,63,2021-09-23 12:36:00,2022-12-12 13:05:00
Aio,2022-12-12 11:11:00,Anchor,3116,64,2021-10-04 15:50:00,2022-12-12 11:11:00
Xenicus,2022-12-12 11:00:00,Anchor,2956,15,2022-08-27 10:15:00,2022-12-12 11:00:00
Hanariki,2022-12-11 15:50:00,Anchor,3096,43,2021-09-30 12:22:00,2022-12-11 15:50:00
Tau Kuhurangi,2022-12-11 11:37:00,Anchor,2745,5,2022-09-09 14:45:00,2022-12-11 11:37:00
Hugh,2022-12-11 11:06:00,Anchor,3144,93,2021-10-23 14:13:00,2022-12-11 11:06:00
Pukaea,2022-12-11 10:40:00,Anchor,0,0,2022-07-23 13:25:00,2022-12-11 10:40:00
Galaxy,2022-12-10 11:10:00,Anchor,3061,6,2021-09-27 15:11:00,2022-12-10 11:10:00
Eva,2022-12-09 15:18:00,Anchor,3062,7,2021-10-14 12:30:00,2022-12-09 15:18:00
Meri,2022-12-09 12:55:00,Anchor,2893,39,2021-10-22 13:00:00,2022-12-09 12:55:00
Major,2022-12-09 10:35:00,Anchor,3132,81,2021-09-17 10:46:00,2022-12-09 10:35:00
Kokoto,2022-12-09 10:10:00,Anchor,3073,18,2021-08-14 12:06:00,2022-12-09 10:10:00
Gale,2022-12-07 14:00:00,Anchor,3130,79,2021-09-30 13:59:00,2022-12-07 14:00:00
Clout,2022-12-07 12:40:00,Anchor,3149,99,2021-10-09 15:05:00,2022-12-07 12:40:00
Toiora,2022-12-07 11:30:00,Anchor,3125,73,2021-09-27 11:15:00,2022-12-07 11:30:00
Tutanekai,2022-12-07 10:09:00,Anchor,3126,74,2021-09-24 12:45:00,2022-12-07 10:09:00
Tiwhiri,2022-12-06 17:03:00,Anchor,3101,48,2022-07-13 13:30:00,2022-12-06 17:03:00
Whetu,2022-12-06 16:50:00,Anchor,3084,30,2021-10-09 12:00:00,2022-12-06 16:50:00
Ranger,2022-12-06 15:16:00,Anchor,3127,76,2021-10-04 12:45:00,2022-12-06 15:16:00
Horopito,2022-12-06 13:15:00,Anchor,3083,28,2021-10-03 10:15:00,2022-12-06 13:15:00
Deans,2022-12-06 12:52:00,Anchor,3087,33,2021-10-15 11:40:00,2022-12-06 12:52:00
Paddy,2022-12-03 12:55:00,Anchor,3134,83,2021-09-15 13:57:00,2022-12-03 12:55:00
Ruggedy,2022-12-03 11:45:00,Anchor,2973,10,2021-09-23 15:47:00,2022-12-03 11:45:00
Sirocco,2022-12-03 09:40:00,Anchor,3119,67,2021-12-07 22:50:00,2022-12-03 09:40:00
Te Here,2022-12-02 16:32:00,Anchor,3141,90,2021-09-18 12:45:00,2022-12-02 16:32:00
Trevor,2022-12-02 14:31:00,Anchor,3146,96,2021-10-09 14:00:00,2022-12-02 14:31:00
Te Kingi,2022-12-02 14:05:00,Anchor,3109,56,2022-06-14 15:00:00,2022-12-02 14:05:00
Quill,2022-12-02 13:05:00,Anchor,3147,97,2021-08-18 08:30:00,2022-12-02 13:05:00
Verity,2022-12-02 11:40:00,Anchor,3131,80,2021-10-05 13:45:00,2022-12-02 11:40:00
Morehu,2022-12-01 20:00:00,Invercargill,3325,66,2022-07-24 10:46:00,2022-12-01 20:00:00
Koraki,2022-12-01 15:50:00,Anchor,3088,34,2021-08-14 14:48:00,2022-12-01 15:50:00
Hau,2022-12-01 15:40:00,Anchor,3133,82,2021-09-17 15:26:00,2022-12-01 15:40:00
Atatu,2022-12-01 14:00:00,Anchor,2757,95,2022-08-18 10:40:00,2022-12-01 14:00:00
Kenneth,2022-12-01 13:40:00,Anchor,3064,9,2021-10-04 16:05:00,2022-12-01 13:40:00
Kohengi,2022-12-01 12:00:00,Anchor,3067,12,2021-08-14 14:27:00,2022-12-01 12:00:00
Egilsay,2022-12-01 11:40:00,Whenua Hou,3310,26,2022-10-10 11:20:00,2022-12-01 11:40:00
Porowhita,2022-11-29 13:27:00,Anchor,3090,36,2021-08-13 13:36:00,2022-11-29 13:27:00
Phoenix,2022-11-29 13:05:00,Anchor,3114,62,2021-08-13 11:05:00,2022-11-29 13:05:00
Kotahitanga,2022-11-28 16:40:00,Anchor,3128,77,2021-10-01 11:37:00,2022-11-28 16:40:00
Big Nick,2022-11-28 16:30:00,Anchor,3110,57,2021-09-17 12:05:00,2022-11-28 16:30:00
Tamahou,2022-11-28 14:48:00,Anchor,3099,46,2021-10-08 10:32:00,2022-11-28 14:48:00
Manaaki,2022-11-28 13:55:00,Anchor,2914,61,2021-10-22 11:00:00,2022-11-28 13:55:00
Lind,2022-11-27 16:45:00,Anchor,3056,1,2021-09-15 10:20:00,2022-11-27 16:45:00
Awhero,2022-11-27 16:25:00,Anchor,3123,71,2021-10-16 13:21:00,2022-11-27 16:25:00
Madison,2022-11-27 14:40:00,Anchor,3103,50,2022-05-25 15:43:00,2022-11-27 14:40:00
George,2022-11-27 09:45:00,Anchor,3085,31,2021-09-23 10:14:00,2022-11-27 09:45:00
Takitimu,2022-11-26 14:25:00,Anchor,3137,86,2021-09-16 11:45:00,2022-11-26 14:25:00
Cascade,2022-11-26 11:23:00,Anchor,2756a,85,2022-08-17 15:10:00,2022-11-26 11:23:00
Tuterangi,2022-11-24 15:50:00,Anchor,3057,2,2021-09-22 12:10:00,2022-11-24 15:50:00
Henry,2022-11-23 13:33:00,Anchor,3135,84,2021-09-16 15:15:00,2022-11-23 13:33:00
Ngatapa,2022-11-23 11:53:00,Anchor,3118,66,2021-09-22 15:23:00,2022-11-23 11:53:00
Manu,2022-11-23 11:20:00,Anchor,3072,17,2021-10-03 15:15:00,2022-11-23 11:20:00
Ongaonga,2022-11-19 15:30:00,Anchor,2763,6,2022-05-19 14:30:00,2022-11-19 15:30:00
Kawa,2022-11-19 12:10:00,Anchor,2767,10,2022-06-04 10:15:00,2022-11-19 12:10:00
Ata Rangi,2022-11-18 12:45:00,Anchor,2902,49,2022-05-15 11:55:00,2022-11-18 12:45:00
Paroro,2022-11-17 17:00:00,Anchor,2694,9,2022-05-21 14:15:00,2022-11-17 17:00:00
Ahu,2022-11-17 15:00:00,Anchor,2723,19,2022-07-19 14:17:00,2022-11-17 15:00:00
Ururangi ,2022-11-17 14:43:00,Anchor,2836,79,2022-05-11 14:56:00,2022-11-17 14:43:00
Aella,2022-11-17 12:45:00,Anchor,2601,98,2022-05-21 14:15:00,2022-11-17 12:45:00
Hautoka,2022-11-17 10:33:00,Anchor,2889,35,2022-05-13 13:39:00,2022-11-17 10:33:00
Ngaio,2022-11-12 14:15:00,Te Kakahu,2759,2,2022-08-31 10:30:00,2022-11-12 14:15:00
Pakiki,2022-11-11 09:07:00,Anchor,2798,41,2022-08-08 12:55:00,2022-11-11 09:07:00
Valerie,2022-11-09 11:35:00,Whenua Hou,2719,95,2022-09-23 11:55:00,2022-11-09 11:35:00
Apollo,2022-11-07 12:56:00,Whenua Hou,2912,59,2022-10-14 13:20:00,2022-11-07 12:56:00
Tuarima,2022-11-06 15:30:00,Whenua Hou,2722,12,2022-08-28 12:33:00,2022-11-06 15:30:00
Kevin,2022-11-06 12:02:00,Whenua Hou,2775,18,2022-06-08 13:00:00,2022-11-06 12:02:00
Owha,2022-11-05 11:35:00,Whenua Hou,2919,67,2022-07-16 13:31:00,2022-11-05 11:35:00
Motupohue,2022-11-04 16:15:00,Whenua Hou,3328,77,2022-10-07 13:15:00,2022-11-04 16:15:00
Matamua,2022-11-03 12:50:00,Whenua Hou,2785,28,2022-04-22 15:01:00,2022-11-03 12:50:00
Rupi,2022-11-03 11:08:00,Whenua Hou,2510,64,2022-06-03 13:25:00,2022-11-03 11:08:00
Nog,2022-11-01 14:41:00,Whenua Hou,2974,11,2022-10-29 12:55:00,2022-11-01 14:41:00
Margaret-maree,2022-10-31 21:00:00,Whenua Hou,3293,53,2022-07-05 12:00:00,2022-10-31 21:00:00
Norm,2022-10-31 12:15:00,Whenua Hou,2489,30,2022-07-28 17:00:00,2022-10-31 12:15:00
Andy,2022-10-30 13:11:00,Whenua Hou,2753,65,2022-08-21 14:15:00,2022-10-30 13:11:00
Lierz,2022-10-30 12:40:00,Whenua Hou,2479,14,2022-08-07 14:26:00,2022-10-30 12:40:00
Nog,2022-10-29 12:55:00,Whenua Hou,3329,78,2022-10-09 13:25:00,2022-10-29 12:55:00
Merv,2022-10-29 10:45:00,Whenua Hou,3291,50,2022-10-26 11:15:00,2022-10-29 10:45:00
Merv,2022-10-26 11:15:00,Whenua Hou,3309,25,2022-10-07 14:45:00,2022-10-26 11:15:00
Tiwai,2022-10-17 12:45:00,Hauturu,3160,67,2021-10-02 12:40:00,2022-10-17 12:45:00
Joe,2022-10-17 10:00:00,Whenua Hou,2974,11,2021-07-08 10:50:00,2022-10-17 10:00:00
Flossie,2022-10-16 12:06:00,Hauturu,3108,55,2021-09-26 11:20:00,2022-10-16 12:06:00
Yasmine,2022-10-15 08:35:00,Anchor,Stu's Test Harness 2,23,2022-10-08 13:00:00,2022-10-15 08:35:00
Apollo,2022-10-14 13:20:00,Whenua Hou,2403,59,2022-05-10 18:00:00,2022-10-14 13:20:00
Ta Tipene,2022-10-14 11:40:00,Whenua Hou,2844,87,2022-05-12 17:00:00,2022-10-14 11:40:00
Mati-ma,2022-10-13 13:40:00,Whenua Hou,3047,91,2022-03-09 14:20:00,2022-10-13 13:40:00
Otepoti,2022-10-13 13:15:00,Whenua Hou,3050,94,2021-07-05 14:50:00,2022-10-13 13:15:00
Aria,2022-10-13 11:13:00,Whenua Hou,2865,10,2021-07-15 10:39:00,2022-10-13 11:13:00
Mason,2022-10-13 10:44:00,Whenua Hou,2777,20,2022-05-16 12:30:00,2022-10-13 10:44:00
Vori,2022-10-12 13:20:00,Whenua Hou,3005,44,2021-08-18 22:50:00,2022-10-12 13:20:00
Boss,2022-10-12 11:08:00,Whenua Hou,3046,89,2021-07-10 13:54:00,2022-10-12 11:08:00
Tia,2022-10-12 10:20:00,Hauturu,3107,54,2021-09-11 11:24:00,2022-10-12 10:20:00
Milford,2022-10-11 16:00:00,Whenua Hou,2979,16,2021-07-03 13:15:00,2022-10-11 16:00:00
Rosemary,2022-10-11 14:10:00,Anchor,2737,87,2022-08-15 11:50:00,2022-10-11 14:10:00
Rere,2022-10-11 12:45:00,Whenua Hou,3052,96,2021-07-03 14:08:00,2022-10-11 12:45:00
Ox,2022-10-11 12:40:00,Hauturu,3159,47,2021-09-13 16:10:00,2022-10-11 12:40:00
Te Atapo,2022-10-11 12:20:00,Whenua Hou,3010,49,2021-07-02 14:35:00,2022-10-11 12:20:00
Madeline,2022-10-11 12:18:00,Whenua Hou,2346,9,2022-09-09 16:34:00,2022-10-11 12:18:00
Hinemoa,2022-10-10 14:50:00,Whenua Hou,2997,34,2022-04-06 17:00:00,2022-10-10 14:50:00
Huhu,2022-10-10 14:45:00,Whenua Hou,3003,41,2021-06-24 14:40:00,2022-10-10 14:45:00
Acheron,2022-10-10 12:09:00,Whenua Hou,3039,79,2021-07-05 11:03:00,2022-10-10 12:09:00
Hananui,2022-10-10 11:45:00,Hauturu,3059,4,2021-09-10 14:19:00,2022-10-10 11:45:00
Egilsay,2022-10-10 11:20:00,Whenua Hou,2989,26,2021-06-27 14:45:00,2022-10-10 11:20:00
Hurihuri,2022-10-09 16:30:00,Whenua Hou,3023,62,2021-07-05 14:20:00,2022-10-09 16:30:00
Bluster-Murphy,2022-10-09 15:50:00,Whenua Hou,3054,98,2021-06-26 14:05:00,2022-10-09 15:50:00
Nog,2022-10-09 13:25:00,Whenua Hou,3038,78,2021-06-29 15:31:00,2022-10-09 13:25:00
Tiaka,2022-10-09 12:45:00,Hauturu,3051,95,2021-09-24 15:28:00,2022-10-09 12:45:00
Doc,2022-10-09 12:40:00,Hauturu,3157,17,2021-09-15 15:43:00,2022-10-09 12:40:00
Phantom,2022-10-09 11:30:00,Whenua Hou,2761,4,2022-07-07 13:00:00,2022-10-09 11:30:00
Wendy,2022-10-08 13:56:00,Hauturu,3070,15,2021-10-13 12:45:00,2022-10-08 13:56:00
Guapo,2022-10-08 13:30:00,Whenua Hou,2978,15,2021-07-15 15:00:00,2022-10-08 13:30:00
Yasmine,2022-10-08 13:00:00,Anchor,3188,78,2022-08-16 15:00:00,2022-10-08 13:00:00
Bonus,2022-10-08 12:10:00,Whenua Hou,3024,63,2021-07-02 11:50:00,2022-10-08 12:10:00
Heather,2022-10-08 11:20:00,Hauturu,3068,13,2021-09-10 12:40:00,2022-10-08 11:20:00
Elsie,2022-10-08 10:40:00,Whenua Hou,3019,58,2022-06-05 14:00:00,2022-10-08 10:40:00
Lisa,2022-10-08 10:22:00,Hauturu,3049,93,2021-09-11 13:47:00,2022-10-08 10:22:00
Hondy,2022-10-07 15:20:00,Whenua Hou,2928,76,2022-02-12 23:28:00,2022-10-07 15:20:00
Merv,2022-10-07 14:45:00,Whenua Hou,2988,25,2021-06-27 14:48:00,2022-10-07 14:45:00
Faulkner,2022-10-07 13:55:00,Whenua Hou,3017,56,2021-07-01 12:00:00,2022-10-07 13:55:00
Motupohue,2022-10-07 13:15:00,Whenua Hou,3001,38,2021-07-08 10:49:00,2022-10-07 13:15:00
Tuarua,2022-10-05 15:45:00,Whenua Hou,2771,14,2022-03-03 23:30:00,2022-10-05 15:45:00
Stefan,2022-10-05 14:20:00,Whenua Hou,2916,63,2022-06-01 14:30:00,2022-10-05 14:20:00
Bloxham,2022-10-04 11:50:00,Whenua Hou,2930,78,2022-06-03 11:20:00,2022-10-04 11:50:00
Awhina,2022-10-03 12:50:00,Anchor,2958,45,2022-08-02 11:13:00,2022-10-03 12:50:00
Ralph,2022-10-01 12:50:00,Whenua Hou,3016,55,2021-07-05 13:45:00,2022-10-01 12:50:00
Ian,2022-10-01 03:25:00,Whenua Hou,2969,6,2021-06-30 11:13:00,2022-10-01 03:25:00
Tutoko,2022-09-30 14:13:00,Whenua Hou,3045,88,2021-07-02 15:55:00,2022-09-30 14:13:00
Rahotu,2022-09-30 13:20:00,Whenua Hou,3034,73,2021-07-02 10:47:00,2022-09-30 13:20:00
Wiremu,2022-09-30 10:50:00,Whenua Hou,2990,27,2021-07-05 12:10:00,2022-09-30 10:50:00
Rangi,2022-09-25 14:00:00,Whenua Hou,3004,43,2021-07-05 10:33:00,2022-09-25 14:00:00
Willans,2022-09-25 13:29:00,Te Kakahu,2823,66,2022-08-31 13:40:00,2022-09-25 13:29:00
Moana,2022-09-24 13:40:00,Anchor,2957,25,2022-06-14 13:30:00,2022-09-24 13:40:00
Valerie,2022-09-23 11:55:00,Whenua Hou,2587,72,2022-05-10 15:30:00,2022-09-23 11:55:00
Manakouri,2022-09-23 10:37:00,Whenua Hou,2926,74,2022-05-10 14:50:00,2022-09-23 10:37:00
Sushil,2022-09-11 12:30:00,Whenua Hou,2944,93,2022-06-08 13:50:00,2022-09-11 12:30:00
Tangiwai,2022-09-10 13:09:00,Whenua Hou,2837,80,2022-06-05 11:00:00,2022-09-10 13:09:00
Madeline,2022-09-09 16:34:00,Whenua Hou,2374,34,2022-05-24 14:39:00,2022-09-09 16:34:00
Tau Kuhurangi,2022-09-09 14:45:00,Anchor,3048,92,2021-09-17 17:26:00,2022-09-09 14:45:00
Hector,2022-09-09 13:00:00,Whenua Hou,2937,86,2022-05-31 16:20:00,2022-09-09 13:00:00
Palmersan,2022-09-06 10:50:00,Te Kakahu,3117,65,2021-10-22 10:45:00,2022-09-06 10:50:00
Kaiako,2022-09-05 16:00:00,Whenua Hou,2899,46,2022-05-28 14:25:00,2022-09-05 16:00:00
Ako,2022-09-05 14:30:00,Te Kakahu,2863,8,2022-05-05 14:37:00,2022-09-05 14:30:00
Elwin,2022-09-05 13:17:00,Te Kakahu,3145,94,2021-09-17 15:50:00,2022-09-05 13:17:00
Rata,2022-09-05 12:50:00,Te Kakahu,2764,7,2022-05-05 11:48:00,2022-09-05 12:50:00
Mahli,2022-09-05 11:50:00,Te Kakahu,3021,60,2021-10-21 13:40:00,2022-09-05 11:50:00
Mukeke,2022-09-05 10:35:00,Te Kakahu,3151,14,2021-09-17 12:21:00,2022-09-05 10:35:00
Adelaide,2022-09-05 10:25:00,Te Kakahu,3037,76,2021-09-17 13:30:00,2022-09-05 10:25:00
Taeatanga,2022-09-02 17:50:00,Te Kakahu,2805,48,2022-05-04 15:50:00,2022-09-02 17:50:00
Joy,2022-09-02 16:30:00,Te Kakahu,2888,34,2022-05-30 16:47:00,2022-09-02 16:30:00
Moorhouse,2022-09-02 15:40:00,Te Kakahu,3080,25,2021-10-20 19:07:00,2022-09-02 15:40:00
Kura,2022-09-02 15:30:00,Te Kakahu,3106,53,2021-10-20 14:31:00,2022-09-02 15:30:00
Hillary,2022-09-02 13:20:00,Te Kakahu,3138,87,2021-09-16 16:05:00,2022-09-02 13:20:00
Merekara,2022-09-02 12:35:00,Whenua Hou,2721,9,2022-07-10 13:09:00,2022-09-02 12:35:00
Ninihi,2022-09-02 09:50:00,Te Kakahu,3152,24,2021-10-20 16:59:00,2022-09-02 09:50:00
Aumaria,2022-09-02 09:42:00,Te Kakahu,3154,64,2021-10-20 13:25:00,2022-09-02 09:42:00
Dusky,2022-09-02 08:40:00,Te Kakahu,3078,23,2021-09-17 08:35:00,2022-09-02 08:40:00
Kanawera,2022-09-01 10:30:00,Te Kakahu,2866,11,2022-05-07 09:38:00,2022-09-01 10:30:00
Ruapuke,2022-09-01 09:15:00,Te Kakahu,3033,72,2021-10-20 13:35:00,2022-09-01 09:15:00
Jack,2022-09-01 09:10:00,Te Kakahu,3136,85,2021-09-17 18:32:00,2022-09-01 09:10:00
Percy,2022-08-31 14:20:00,Te Kakahu,3029,68,2021-09-17 11:20:00,2022-08-31 14:20:00
Willans,2022-08-31 13:40:00,Te Kakahu,2545,16,2022-05-31 10:42:00,2022-08-31 13:40:00
Maestro,2022-08-31 12:19:00,Te Kakahu,3060,5,2021-09-16 15:00:00,2022-08-31 12:19:00
Makorea,2022-08-31 11:55:00,Te Kakahu,3089,35,2021-10-21 12:05:00,2022-08-31 11:55:00
Ngaio,2022-08-31 10:30:00,Te Kakahu,2729,39,2022-05-30 16:10:00,2022-08-31 10:30:00
Attenborough,2022-08-31 10:24:00,Te Kakahu,2991,28,2021-09-16 14:00:00,2022-08-31 10:24:00
Rimu,2022-08-31 08:34:00,Te Kakahu,3031,70,2021-10-20 13:25:00,2022-08-31 08:34:00
Fergus,2022-08-30 16:40:00,Te Kakahu,2751a,45,2022-05-06 12:00:00,2022-08-30 16:40:00
Turuapo,2022-08-29 10:53:00,Whenua Hou,2730,41,2022-06-08 14:33:00,2022-08-29 10:53:00
Tuarima,2022-08-28 12:33:00,Whenua Hou,2724,22,2022-05-30 12:43:00,2022-08-28 12:33:00
Xenicus,2022-08-27 10:15:00,Anchor,2544,15,2022-08-06 14:41:00,2022-08-27 10:15:00
Horton,2022-08-22 15:15:00,Petrel,3081,26,2021-09-18 16:20:00,2022-08-22 15:15:00
Basil,2022-08-22 13:15:00,Anchor,3122,70,2021-09-22 12:30:00,2022-08-22 13:15:00
Roria,2022-08-22 11:21:00,Anchor,2726,29,2022-05-10 13:31:00,2022-08-22 11:21:00
Andy,2022-08-21 14:15:00,Whenua Hou,2580,65,2022-06-12 13:50:00,2022-08-21 14:15:00
Aparima,2022-08-18 12:55:00,Anchor,3139,88,2021-08-16 15:50:00,2022-08-18 12:55:00
Atatu,2022-08-18 10:40:00,Anchor,2829,72,2020-10-14 10:25:00,2022-08-18 10:40:00
Cascade,2022-08-17 15:10:00,Anchor,2959,85,2022-06-23 12:48:00,2022-08-17 15:10:00
Konini,2022-08-17 12:20:00,Anchor,3153,34,2021-08-13 13:55:00,2022-08-17 12:20:00
Kuia,2022-08-17 11:05:00,Anchor,3097,44,2021-10-06 11:15:00,2022-08-17 11:05:00
Yasmine,2022-08-16 15:00:00,Anchor,3129,78,2021-09-22 14:50:00,2022-08-16 15:00:00
Toitiiti,2022-08-16 13:36:00,Anchor,3093,40,2021-09-30 10:37:00,2022-08-16 13:36:00
Marama,2022-08-15 17:25:00,Anchor,3075,20,2021-08-17 15:00:00,2022-08-15 17:25:00
JEM,2022-08-15 14:35:00,Anchor,3120,68,2021-10-05 11:40:00,2022-08-15 14:35:00
Atareta,2022-08-15 14:35:00,Anchor,3105,52,2021-10-03 11:05:00,2022-08-15 14:35:00
Waikawa,2022-08-15 13:18:00,Anchor,3095,42,2021-10-03 12:25:00,2022-08-15 13:18:00
Rosemary,2022-08-15 11:50:00,Anchor,2464,82,2022-05-11 11:00:00,2022-08-15 11:50:00
Marian,2022-08-15 11:43:00,Anchor,3155,94,2021-09-15 13:10:00,2022-08-15 11:43:00
Evohe,2022-08-14 15:35:00,Anchor,3092,38,2021-10-05 11:30:00,2022-08-14 15:35:00
Gertrude,2022-08-14 14:25:00,Anchor,3111,58,2021-08-14 10:13:00,2022-08-14 14:25:00
Jamieson,2022-08-13 15:12:00,Petrel,3091,37,2021-08-13 12:01:00,2022-08-13 15:12:00
Oraka,2022-08-13 13:50:00,Anchor,3094,41,2021-09-26 15:50:00,2022-08-13 13:50:00
Hokonui,2022-08-13 12:05:00,Anchor,3104,51,2021-09-27 13:20:00,2022-08-13 12:05:00
Boomer,2022-08-12 17:05:00,Anchor,3077,22,2021-09-17 09:20:00,2022-08-12 17:05:00
Olive,2022-08-12 15:00:00,Anchor,2566,45,2022-06-08 13:25:00,2022-08-12 15:00:00
Hauturu,2022-08-12 14:45:00,Anchor,3150,4,2021-09-15 14:25:00,2022-08-12 14:45:00
Hine Taumai,2022-08-12 13:45:00,Anchor,3086,32,2021-10-03 12:35:00,2022-08-12 13:45:00
Kumi,2022-08-12 13:25:00,Anchor,3082,27,2021-09-15 10:37:00,2022-08-12 13:25:00
Waa,2022-08-12 11:50:00,Anchor,3069,14,2021-09-16 13:30:00,2022-08-12 11:50:00
Stella,2022-08-12 10:41:00,Anchor,3079,24,2021-08-13 11:00:00,2022-08-12 10:41:00
Ariki,2022-08-11 13:05:00,Anchor,3201,16,2022-06-20 11:13:00,2022-08-11 13:05:00
Pakiki,2022-08-08 12:55:00,Anchor,2856,99,2022-05-05 14:00:00,2022-08-08 12:55:00
Lierz,2022-08-07 14:26:00,Whenua Hou,2728,36,2022-06-12 12:53:00,2022-08-07 14:26:00
Lilibet,2022-08-07 13:45:00,Anchor,3112,59,2022-07-19 14:40:00,2022-08-07 13:45:00
Xenicus,2022-08-06 14:41:00,Anchor,0,0,,2022-08-06 14:41:00
Awhina,2022-08-02 11:13:00,Anchor,2868,13,2022-05-17 13:45:00,2022-08-02 11:13:00
Torua,2022-07-30 13:40:00,Anchor,2668,34,2022-05-13 13:15:00,2022-07-30 13:40:00
Norm,2022-07-28 17:00:00,Whenua Hou,0,0,,2022-07-28 17:00:00
Morehu,2022-07-24 10:46:00,Whenua Hou,3027,66,2021-07-01 13:00:00,2022-07-24 10:46:00
Pukaea,2022-07-23 13:25:00,Anchor,2828,71,2022-05-15 12:50:00,2022-07-23 13:25:00
Hakatere,2022-07-21 13:33:00,Whenua Hou,2996,33,2021-07-05 14:19:00,2022-07-21 13:33:00
Pura,2022-07-21 13:25:00,Whenua Hou,2986,23,2021-06-24 10:12:00,2022-07-21 13:25:00
Lilibet,2022-07-19 14:40:00,Anchor,2616chick,60,2022-06-04 15:00:00,2022-07-19 14:40:00
